step 0, batch loss 1.868, 0.01 iters/s
step 1, batch loss 2.967, 1.94 iters/s
step 2, batch loss 2.597, 1.95 iters/s
step 3, batch loss 2.359, 1.53 iters/s
step 4, batch loss 2.108, 1.74 iters/s
step 5, batch loss 2.416, 1.74 iters/s
step 6, batch loss 2.491, 1.74 iters/s
step 7, batch loss 2.654, 1.74 iters/s
step 8, batch loss 2.662, 1.74 iters/s
step 9, batch loss 2.02, 1.74 iters/s
step 10, batch loss 2.423, 1.74 iters/s
step 11, batch loss 2.209, 1.75 iters/s
step 12, batch loss 2.384, 1.74 iters/s
step 13, batch loss 2.491, 1.74 iters/s
step 14, batch loss 2.373, 1.74 iters/s
step 15, batch loss 2.277, 1.74 iters/s
step 16, batch loss 2.28, 1.74 iters/s
step 17, batch loss 2.077, 1.74 iters/s
step 18, batch loss 2.331, 1.75 iters/s
step 19, batch loss 2.288, 1.74 iters/s
step 20, batch loss 2.445, 1.75 iters/s
step 21, batch loss 2.401, 1.74 iters/s
step 22, batch loss 2.683, 1.74 iters/s
step 23, batch loss 2.313, 1.74 iters/s
step 24, batch loss 2.715, 1.74 iters/s
step 25, batch loss 2.317, 1.74 iters/s
step 26, batch loss 1.978, 1.75 iters/s
step 27, batch loss 2.203, 1.74 iters/s
step 28, batch loss 2.036, 1.74 iters/s
step 29, batch loss 2.424, 1.74 iters/s
step 30, batch loss 2.38, 1.74 iters/s
step 31, batch loss 2.041, 1.74 iters/s
step 32, batch loss 2.264, 1.74 iters/s
step 33, batch loss 2.15, 1.74 iters/s
step 34, batch loss 2.502, 1.74 iters/s
step 35, batch loss 2.784, 1.74 iters/s
step 36, batch loss 2.202, 1.74 iters/s
step 37, batch loss 2.328, 1.74 iters/s
step 38, batch loss 2.083, 1.74 iters/s
step 39, batch loss 2.358, 1.74 iters/s
step 40, batch loss 2.053, 1.74 iters/s
step 41, batch loss 2.063, 1.74 iters/s
step 42, batch loss 2.155, 1.74 iters/s
step 43, batch loss 2.254, 1.74 iters/s
step 44, batch loss 2.223, 1.74 iters/s
step 45, batch loss 2.242, 1.74 iters/s
step 46, batch loss 2.132, 1.74 iters/s
step 47, batch loss 2.096, 1.74 iters/s
step 48, batch loss 2.253, 1.74 iters/s
step 49, batch loss 2.141, 1.74 iters/s
step 50, batch loss 2.224, 1.74 iters/s
step 51, batch loss 2.424, 1.74 iters/s
step 52, batch loss 2.328, 1.74 iters/s
step 53, batch loss 2.061, 1.75 iters/s
step 54, batch loss 2.016, 1.74 iters/s
step 55, batch loss 2.011, 1.74 iters/s
step 56, batch loss 2.148, 1.74 iters/s
step 57, batch loss 2.378, 1.74 iters/s
step 58, batch loss 2.243, 1.74 iters/s
step 59, batch loss 2.078, 1.74 iters/s
step 60, batch loss 2.235, 1.74 iters/s
step 61, batch loss 2.141, 1.74 iters/s
step 62, batch loss 1.836, 1.74 iters/s
step 63, batch loss 2.38, 1.74 iters/s
step 64, batch loss 2.156, 1.74 iters/s
step 65, batch loss 2.721, 1.74 iters/s
step 66, batch loss 2.388, 1.75 iters/s
